CIUDAD DE PROCEDENCIA,CIUDAD DE DESTINO,MOTIVO DEL VIAJE,TIEMPO DE PERMANENCIA (DIAS),TIPO ALOJAMIENTO,RESULTADO SATISFACCIÓN,CANTIDAD DE VIAJEROS
Bogotá,Aquitania,Turismo,1,Hotel,8,4
Bogotá,Villa de Leyva,Turismo,3,Hotel,10,4
Bogotá,Ráquira,Turismo,2,Hotel,10,4
Bogotá,Aquitania,Turismo,1,Hotel,9,4
Bogotá,Aquitania,Turismo,2,Hotel,9,4
Bogotá,Aquitania,Turismo,5,Hotel,9,4
Bogotá,Aquitania,Turismo,2,Hotel,9,4
Bogotá,Aquitania,Turismo,3,Hotel,9,4
Bogotá,Tunja,Turismo,2,Hotel,9,4
Bogotá,Villa de Leyva,Turismo,2,Hotel,9,4
Bogotá,Villa de Leyva,Turismo,3,Hotel,9,4
Bogotá,Villa de Leyva,Turismo,2,Hotel,8,4
Bogotá,Aquitania,Turismo,2,Hotel,9,4
Bogotá,Aquitania,Turismo,2,Hotel,9,4
Bogotá,Monguí,Turismo,3,Hotel,8,4
Bogotá,Duitama,Turismo,2,Hotel,9,4
Bogotá,Sutamarchán,Turismo,2,Hotel,9,4
Bogotá,Villa de Leyva,Turismo,4,Hotel,10,4
Bogotá,Villa de Leyva,Turismo,4,Hotel,10,4
Bogotá,Villa de Leyva,Turismo,3,Hotel,10,4
Bogotá,Villa de Leyva,Turismo,2,Hotel,10,4
Bogotá,Villa de Leyva,Turismo,3,Camping,10,4
Bogotá,Villa de Leyva,Turismo,5,Hotel,10,4
Bogotá,Villa de Leyva,Turismo,5,Hotel,10,4
Bogotá,Aquitania,Turismo,2,Hotel,10,4
Bogotá,Aquitania,Turismo,4,Hotel,10,4
Bogotá,Aquitania,Turismo,2,Hotel,10,4
Bogotá,Aquitania,Turismo,2,Hotel,10,4
Bogotá,Aquitania,Turismo,2,Hotel,10,4
Bogotá,Aquitania,Turismo,4,Cabaña rural,10,4
Bogotá,Aquitania,Turismo,2,Hotel,10,4
Bogotá,Aquitania,Turismo,4,Hotel,10,4
Bogotá,Aquitania,Turismo,1,Hotel,10,4
Bogotá,Aquitania,Turismo,5,Hotel,9,4
Bogotá,Aquitania,Turismo,1,Hotel,9,4
Bogotá,Aquitania,Turismo,3,Hotel,9,4
Bogotá,Villa de Leyva,Turismo,2,Hotel,10,4
Bogotá,Aquitania,Turismo,2,Hotel,9,4
Bogotá,Paipa,Turismo,1,Hotel,10,4
Bogotá,Aquitania,Turismo,1,Hotel,10,4
Bogotá,Aquitania,Turismo,1,Vivienda familiar,10,4
Bogotá,Paipa,Turismo,2,Camping,10,4
Bogotá,Paipa,Turismo,5,Hotel,10,4
Bogotá,Aquitania,Turismo,3,Hotel,10,4
Bogotá,Paipa,Turismo,4,Cabaña rural,10,4
Bogotá,Paipa,Turismo,3,Hotel,10,4
Bogotá,Aquitania,Turismo,1,Vivienda familiar,10,4
Bogotá,Aquitania,Turismo,2,Hotel,10,4
Bogotá,Aquitania,Turismo,4,Hotel,10,4
Bogotá,Paipa,Turismo,2,Hotel,9,4
Bogotá,Paipa,Turismo,2,Hotel,9,4
Bogotá,Villa de Leyva,Turismo,5,Hotel,10,4
Bogotá,Aquitania,Turismo,2,Hotel,10,4
Bogotá,Aquitania,Turismo,1,Camping,10,4
Bogotá,Aquitania,Turismo,3,Hotel,0,4
Bogotá,Aquitania,Turismo,3,Cabaña rural,0,4
Bogotá,Tunja,Turismo,1,Hotel,10,4
Bogotá,Garagoa,Turismo,1,Vivienda familiar,10,4
Bogotá,Nobsa,Turismo,1,Vivienda familiar,9,4
Bogotá,Aquitania,Turismo,1,Hotel,10,4
Bogotá,Tibasosa,Turismo,3,Vivienda familiar,10,4
Bogotá,Iza,Turismo,2,Hotel,10,4
Bogotá,Duitama,Turismo,2,Hotel,10,4
Bogotá,Cuítiva,Turismo,1,Hotel,10,4
Bogotá,Paipa,Turismo,1,Hotel,9,4
Bogotá,Aquitania,Turismo,4,Hotel,10,4
Bogotá,Villa de Leyva,Turismo,2,Hotel,10,4
Bogotá,Duitama,Turismo,2,Hotel,9,4
Bogotá,Duitama,Turismo,2,Hotel,10,4
Bogotá,Aquitania,Turismo,5,Hotel,10,4
Bogotá,Aquitania,Turismo,2,Hotel,8,4
Bogotá,Duitama,Turismo,3,Hotel,9,4
Bogotá,Aquitania,Turismo,1,Hotel,10,4
Bogotá,Aquitania,Turismo,2,Hotel,10,4
Bogotá,Villa de Leyva,Turismo,1,Hotel,10,4
Bogotá,Villa de Leyva,Turismo,1,Hotel,10,4
Bogotá,Miraflores,Turismo,2,Hotel,10,4
Bogotá,Paipa,Turismo,3,Cabaña rural,8,4
Bogotá,Iza,Turismo,1,Vivienda familiar,9,4
Bogotá,Tunja,Turismo,1,Hotel,10,4
Bogotá,Tunja,Turismo,1,Hotel,10,4
Bogotá,Paipa,Turismo,1,Vivienda familiar,10,4
Bogotá,Arcabuco,Turismo,5,Hotel,9,4
Bogotá,Moniquirá,Turismo,3,Hotel,10,4
Bogotá,Cuítiva,Turismo,4,Hotel,9,4
Bogotá,Tibasosa,Turismo,3,Hotel,9,4
Bogotá,Aquitania,Turismo,3,Hotel,9,4
Bogotá,Cerinza,Turismo,4,Hotel,9,4
Bogotá,Duitama,Turismo,3,Vivienda familiar,0,4
Bogotá,Tunja,Turismo,2,Vivienda familiar,10,4
Bogotá,Iza,Turismo,3,Vivienda familiar,10,4
Bogotá,Aquitania,Turismo,1,Hotel,10,4
Bogotá,Aquitania,Turismo,3,Hotel,10,4
Bogotá,Aquitania,Turismo,1,Vivienda familiar,10,4
Bogotá,Aquitania,Turismo,5,Hotel,10,4
Bogotá,Duitama,Turismo,1,Hotel,10,4
Bogotá,Aquitania,Turismo,2,Hotel,10,4
Bogotá,Villa de Leyva,Turismo,4,Hotel,10,4
Bogotá,Duitama,Turismo,3,Hotel,10,4
Bogotá,Paipa,Turismo,2,Hotel,10,4
Bogotá,Duitama,Turismo,3,Cabaña rural,10,4
Bogotá,Paipa,Turismo,1,Vivienda familiar,10,4
Bogotá,Paipa,Turismo,2,Hotel,10,4
Bogotá,Villa de Leyva,Turismo,3,Cabaña rural,0,4
Bogotá,Aquitania,Turismo,2,Vivienda familiar,10,4
Bogotá,Paipa,Turismo,2,Hotel,10,4
Bogotá,Paipa,Turismo,2,Hotel,10,4
Bogotá,Aquitania,Turismo,4,Hotel,10,4
Bogotá,Duitama,Turismo,3,Hotel,0,4
Bogotá,Aquitania,Turismo,4,Hotel,10,4
Bogotá,Aquitania,Turismo,3,Hotel,10,4
Bogotá,Aquitania,Turismo,1,Hotel,10,4
Bogotá,Paipa,Turismo,3,Hotel,10,4
Bogotá,Monguí,Turismo,2,Hotel,10,4
Bogotá,Duitama,Turismo,3,Resort,10,4
Bogotá,Duitama,Turismo,2,Cabaña rural,10,4
Bogotá,Paipa,Turismo,1,Hotel,10,4
Bogotá,Ventaquemada,Turismo,3,Hotel,0,4
Bogotá,Aquitania,Turismo,4,Vivienda familiar,10,4
Bogotá,Duitama,Turismo,1,Hotel,9,4
Bogotá,Tunja,Turismo,2,Hotel,10,4
Bogotá,Aquitania,Turismo,1,Hotel,7,4
Bogotá,Aquitania,Turismo,1,Hotel,10,4
Bogotá,Aquitania,Turismo,2,Vivienda familiar,10,4
Bogotá,Paipa,Turismo,2,Hotel,10,4
Bogotá,Paipa,Turismo,2,Cabaña rural,10,4
Bogotá,Paipa,Turismo,2,Vivienda familiar,10,4
Bogotá,Aquitania,Turismo,3,Hotel,10,4
Bogotá,Paipa,Turismo,5,Vivienda familiar,10,4
Bogotá,Duitama,Turismo,1,Hotel,10,4
Bogotá,Duitama,Turismo,4,Cabaña rural,10,4
Bogotá,Paipa,Turismo,1,Hotel,10,4
Bogotá,Paipa,Turismo,4,Vivienda familiar,10,4
Bogotá,Paipa,Turismo,5,Hotel,10,4
Bogotá,Duitama,Turismo,2,Hotel,10,4
Bogotá,Paipa,Turismo,2,Hotel,9,4
Bogotá,Aquitania,Turismo,3,Hotel,10,4
Bogotá,Aquitania,Turismo,2,Hotel,9,4
Bogotá,Duitama,Turismo,2,Vivienda familiar,10,4
Bogotá,Aquitania,Turismo,3,Hotel,8,4
Bogotá,Aquitania,Turismo,2,Hotel,10,4
Bogotá,Aquitania,Turismo,3,Hotel,10,4
Bogotá,Paipa,Turismo,1,Hotel,9,4
Bogotá,Paipa,Turismo,1,Vivienda familiar,10,4
Bogotá,Paipa,Turismo,2,Hotel,10,4
Bogotá,Aquitania,Turismo,2,Hotel,10,4
Bogotá,Paipa,Turismo,5,Vivienda familiar,10,4
Bogotá,Aquitania,Turismo,4,Hotel,7,4
Bogotá,Duitama,Turismo,2,Hotel,10,4
Bogotá,Paipa,Turismo,1,Vivienda familiar,10,4
Bogotá,Aquitania,Turismo,2,Hotel,10,4
Bogotá,Aquitania,Turismo,3,Hotel,10,4
Bogotá,Paipa,Turismo,1,Hotel,10,4
Bogotá,Duitama,Turismo,1,Vivienda familiar,10,4
Bogotá,Paipa,Turismo,4,Vivienda familiar,10,4
Bogotá,Paipa,Turismo,3,Hotel,10,4
Bogotá,Paipa,Turismo,2,Hotel,10,4
Bogotá,Cerinza,Turismo,1,Hotel,10,4
Bogotá,Paipa,Turismo,5,Cabaña rural,10,4
Bogotá,Villa de Leyva,Turismo,2,Hotel,10,5
Bogotá,Aquitania,Turismo,1,Hotel,9,5
Bogotá,Aquitania,Turismo,2,Hotel,10,5
Bogotá,Aquitania,Turismo,1,Hotel,10,5
Bogotá,Aquitania,Turismo,1,Hotel,9,5
Bogotá,Monguí,Turismo,3,Hotel,10,5
Bogotá,Aquitania,Turismo,1,Hotel,10,5
Bogotá,Paipa,Visita familiar,3,Vivienda familiar,10,5
Bogotá,Aquitania,Turismo,2,Hotel,9,5
Bogotá,Aquitania,Turismo,1,Hotel,9,5
Bogotá,Villa de Leyva,Turismo,5,Cabaña rural,10,5
Bogotá,Duitama,Turismo,5,Hotel,10,5
Bogotá,Aquitania,Turismo,1,Vivienda familiar,10,5
Bogotá,Aquitania,Turismo,5,Hotel,10,5
Bogotá,Boyacá,Turismo,1,Hotel,9,5
Bogotá,Villa de Leyva,Turismo,4,Hotel,8,5
Bogotá,Aquitania,Turismo,1,Cabaña rural,10,5
Bogotá,Villa de Leyva,Turismo,4,Vivienda familiar,10,5
Bogotá,Aquitania,Turismo,1,Vivienda familiar,9,5
Bogotá,Tunja,Turismo,3,Hotel,10,5
Bogotá,Aquitania,Turismo,7,Hotel,0,5
Bogotá,Monguí,Turismo,2,Resort,10,5
Bogotá,Paipa,Turismo,5,Hotel,10,5
Bogotá,Duitama,Turismo,3,Cabaña rural,10,5
Bogotá,Paipa,Turismo,3,Hotel,10,5
Bogotá,Aquitania,Turismo,3,Hotel,10,5
Bogotá,Aquitania,Turismo,3,Cabaña rural,6,5
Bogotá,Tibasosa,Turismo,2,Hotel,10,5
Bogotá,Iza,Turismo,3,Cabaña rural,10,5
Bogotá,Duitama,Turismo,4,Hotel,9,5
Bogotá,Aquitania,Turismo,2,Hotel,9,5
Bogotá,Aquitania,Turismo,2,Hotel,10,5
Bogotá,Iza,Turismo,3,Hotel,10,5
Bogotá,Paipa,Turismo,2,Hotel,9,5
Bogotá,Paipa,Turismo,2,Vivienda familiar,9,5
Bogotá,Aquitania,Turismo,4,Hotel,10,5
Bogotá,Chivor,Turismo,1,Hotel,10,5
Bogotá,Nobsa,Turismo,2,Hotel,10,5
Bogotá,Aquitania,Turismo,2,Hotel,10,5
Bogotá,Paipa,Turismo,4,Hotel,10,5
Bogotá,Duitama,Turismo,4,Hotel,10,5
Bogotá,Monguí,Turismo,2,Hotel,10,5
Bogotá,Paipa,Turismo,2,Hotel,10,5
Bogotá,Duitama,Turismo,2,Hotel,10,5
Bogotá,Paipa,Turismo,4,Hotel,10,5
Bogotá,Aquitania,Turismo,2,Vivienda familiar,10,5
Bogotá,Tibasosa,Turismo,2,Hotel,10,5
Bogotá,Villa de Leyva,Turismo,1,Hotel,10,5
Bogotá,Aquitania,Turismo,1,Hotel,9,5
Bogotá,Aquitania,Turismo,3,Cabaña rural,10,5
Bogotá,Paipa,Turismo,3,Cabaña rural,10,5
Bogotá,Aquitania,Turismo,2,Hotel,10,5
Bogotá,Aquitania,Turismo,2,Hotel,10,5
Bogotá,Aquitania,Turismo,2,Hotel,10,5
Bogotá,Almeida,Turismo,1,Hotel,10,5
Bogotá,Villa de Leyva,Turismo,5,Hotel,10,5
Bogotá,Aquitania,Turismo,2,Hotel,10,5
Bogotá,Villa de Leyva,Turismo,1,Hotel,10,5
Bogotá,Duitama,Turismo,3,Hotel,9,5
Bogotá,Aquitania,Turismo,2,Hotel,10,5
Bogotá,Villa de Leyva,Turismo,1,Vivienda familiar,10,5
Bogotá,Belén,Turismo,1,Vivienda familiar,10,5
Bogotá,Monguí,Turismo,7,Hotel,0,5
Bogotá,Aquitania,Turismo,2,Hotel,10,5
Bogotá,Paipa,Turismo,5,Vivienda familiar,10,5
Bogotá,Tunja,Turismo,2,Hotel,10,5
Bogotá,Monguí,Turismo,4,Vivienda familiar,10,5
Bogotá,Paipa,Turismo,2,Hotel,10,5
Bogotá,Duitama,Turismo,2,Hotel,10,5
Bogotá,Duitama,Turismo,4,Hotel,10,5
Bogotá,Aquitania,Turismo,3,Hotel,10,5
Bogotá,Duitama,Turismo,3,Vivienda familiar,10,5
Bogotá,Paipa,Turismo,2,Hotel,10,5
Bogotá,Duitama,Turismo,2,Hotel,10,5
Bogotá,Aquitania,Turismo,5,Hotel,10,5
Bogotá,Paipa,Turismo,5,Cabaña rural,10,5
Bogotá,Paipa,Turismo,1,Hotel,10,5
Bogotá,Aquitania,Turismo,3,Vivienda familiar,10,5
Bogotá,Aquitania,Turismo,2,Hotel,10,5
Bogotá,Cucaita,Turismo,5,Vivienda familiar,10,5
Bogotá,Paipa,Turismo,5,Vivienda familiar,10,5
Bogotá,Duitama,Turismo,1,Hotel,9,5
Bogotá,Aquitania,Turismo,3,Hotel,8,5
Bogotá,Aquitania,Turismo,2,Hotel,9,5
Bogotá,Aquitania,Turismo,3,Hotel,10,5
Bogotá,Aquitania,Turismo,2,Hotel,9,5
Bogotá,Aquitania,Turismo,4,Cabaña rural,10,5
Bogotá,Aquitania,Turismo,2,Hotel,10,5
Bogotá,Paipa,Turismo,4,Vivienda familiar,10,5
Bogotá,Duitama,Turismo,2,Resort,10,5
Bogotá,Aquitania,Turismo,5,Vivienda familiar,10,5
Bogotá,Paipa,Turismo,1,Hotel,8,5
Bogotá,Aquitania,Turismo,1,Otro,10,5
Bogotá,Paipa,Turismo,1,Hotel,9,5
Bogotá,Paipa,Turismo,1,Hotel,10,5
Bogotá,Paipa,Turismo,2,Hotel,10,5
Bogotá,Paipa,Turismo,2,Hotel,10,5
Bogotá,Duitama,Turismo,2,Hotel,10,5
Bogotá,Aquitania,Turismo,2,Hotel,10,5
Bogotá,Paipa,Turismo,1,Hotel,9,5
Bogotá,Aquitania,Turismo,2,Hotel,9,6
Bogotá,Aquitania,Turismo,3,Hotel,9,6
Bogotá,Aquitania,Turismo,1,Hotel,7,6
Bogotá,Paipa,Turismo,5,Vivienda familiar,8,6
Bogotá,Aquitania,Turismo,2,Hotel,9,6
Bogotá,Monguí,Turismo,5,Hotel,10,6
Bogotá,Duitama,Turismo,2,Hotel,10,6
Bogotá,Aquitania,Turismo,3,Hotel,10,6
Bogotá,Paipa,Turismo,4,Hotel,9,6
Bogotá,Duitama,Turismo,4,Hotel,9,6
Bogotá,Duitama,Turismo,2,Hotel,8,6
Bogotá,Aquitania,Turismo,1,Vivienda familiar,10,6
Bogotá,Aquitania,Turismo,3,Hotel,10,6
Bogotá,Duitama,Turismo,5,Vivienda familiar,10,6
Bogotá,Paipa,Turismo,1,Hotel,10,6
Bogotá,Aquitania,Turismo,3,Hotel,10,6
Bogotá,Aquitania,Turismo,2,Hotel,10,6
Bogotá,Aquitania,Turismo,1,Hotel,10,6
Bogotá,Aquitania,Turismo,2,Hotel,10,6
Bogotá,Aquitania,Turismo,3,Hotel,0,6
Bogotá,Tibasosa,Turismo,3,Hotel,10,6
Bogotá,Duitama,Turismo,2,Hotel,10,6
Bogotá,Aquitania,Turismo,2,Hotel,10,6
Bogotá,Paipa,Turismo,2,Cabaña rural,10,6
Bogotá,Aquitania,Turismo,1,Cabaña rural,10,6
Bogotá,Paipa,Turismo,5,Vivienda familiar,10,6
Bogotá,Duitama,Turismo,2,Resort,10,6
Bogotá,Aquitania,Turismo,2,Hotel,9,6
Bogotá,Paipa,Turismo,4,Vivienda familiar,10,6
Bogotá,Boyacá,Turismo,2,Hotel,10,6
Bogotá,Duitama,Turismo,1,Hotel,10,6
Bogotá,Aquitania,Turismo,2,Hotel,9,7
Bogotá,Aquitania,Turismo,1,Hotel,10,7
Bogotá,Paipa,Turismo,2,Hotel,9,7
Bogotá,Paipa,Turismo,2,Hotel,10,7
Bogotá,Aquitania,Turismo,3,Cabaña rural,10,7
Bogotá,Paipa,Turismo,1,Cabaña rural,10,7
Bogotá,Paipa,Turismo,2,Hotel,9,7
Bogotá,Monguí,Turismo,1,Hotel,10,7
Bogotá,Aquitania,Turismo,1,Hotel,10,7
Bogotá,Puerto Boyacá,Turismo,1,Hotel,10,7
Bogotá,Duitama,Turismo,2,Hotel,10,7
Bogotá,Tunja,Turismo,3,Vivienda familiar,0,7
Bogotá,Villa de Leyva,Turismo,3,Hotel,10,7
Bogotá,Paipa,Turismo,2,Vivienda familiar,10,7
Bogotá,Aquitania,Turismo,1,Camping,10,7
Bogotá,Nobsa,Turismo,1,Camping,10,7
Bogotá,Paipa,Turismo,5,Resort,10,7
Bogotá,Aquitania,Turismo,3,Hotel,9,7
Bogotá,Duitama,Turismo,4,Hotel,10,7
Bogotá,Aquitania,Turismo,2,Hotel,10,7
Bogotá,Duitama,Turismo,1,Vivienda familiar,10,7
Bogotá,Duitama,Turismo,1,Vivienda familiar,10,7
Bogotá,Aquitania,Turismo,2,Cabaña rural,10,7
Bogotá,Aquitania,Turismo,2,Hotel,9,8
Bogotá,Villa de Leyva,Turismo,1,Hotel,9,8
Bogotá,Duitama,Turismo,2,Hotel,10,8
Bogotá,Duitama,Turismo,5,Vivienda familiar,10,8
Bogotá,Paipa,Turismo,1,Hotel,9,8
Bogotá,Villa de Leyva,Turismo,2,Hotel,10,8
Bogotá,Paipa,Turismo,2,Hotel,9,8
Bogotá,Duitama,Turismo,4,Cabaña rural,8,8
Bogotá,Cómbita,Turismo,2,Hotel,10,8
Bogotá,Duitama,Turismo,2,Hotel,10,8
Bogotá,Aquitania,Turismo,1,Vivienda familiar,9,8
Bogotá,Tibasosa,Turismo,1,Hotel,10,8
Bogotá,Aquitania,Turismo,5,Vivienda familiar,10,8
Bogotá,Aquitania,Turismo,2,Hotel,10,8
Bogotá,Aquitania,Turismo,1,Hotel,10,8
Bogotá,Tota,Turismo,3,Hotel,10,8
Bogotá,Paipa,Turismo,7,Hotel,0,8
Bogotá,Sogamoso,Turismo,3,Hotel,10,8
Bogotá,Paipa,Turismo,5,Hotel,10,8
Bogotá,Tunja,Turismo,2,Hotel,10,8
Bogotá,Arcabuco,Turismo,4,Vivienda familiar,10,8
Bogotá,Aquitania,Turismo,2,Cabaña rural,10,8
Bogotá,Duitama,Turismo,4,Vivienda familiar,10,8
Bogotá,Aquitania,Turismo,2,Hotel,9,9
Bogotá,Monguí,Turismo,2,Cabaña rural,10,9
Bogotá,Duitama,Turismo,4,Hotel,9,9
Bogotá,El Cocuy,Turismo,4,Hotel,10,9
Bogotá,Tibasosa,Turismo,2,Cabaña rural,10,9
Bogotá,Paipa,Turismo,3,Hotel,10,9
Bogotá,Aquitania,Turismo,2,Hotel,10,9
Bogotá,Paipa,Turismo,3,Hotel,10,9
Bogotá,Tibasosa,Turismo,3,Cabaña rural,10,9
Bogotá,Villa de Leyva,Turismo,5,Hotel,10,10
Bogotá,Tibasosa,Turismo,3,Cabaña rural,10,10
Bogotá,Paipa,Turismo,2,Cabaña rural,10,10
Bogotá,Paipa,Turismo,3,Hotel,10,10
Bogotá,Aquitania,Turismo,2,Cabaña rural,10,10
Bogotá,Iza,Turismo,1,Hotel,10,10
Bogotá,Paipa,Turismo,1,Resort,8,10
Bogotá,Aquitania,Turismo,5,Hotel,10,10
Bogotá,Aquitania,Turismo,3,Hotel,10,11
Bogotá,Boyacá,Turismo,2,Vivienda familiar,10,11
Bogotá,Paipa,Turismo,3,Hotel,10,12
Bogotá,Tibasosa,Turismo,2,Hotel,10,12
Bogotá,Aquitania,Turismo,2,Hotel,10,12
Bogotá,Paipa,Turismo,3,Hotel,10,12
Bogotá,Paipa,Turismo,2,Hotel,10,12
Bogotá,Paipa,Turismo,2,Hotel,10,12
Bogotá,Duitama,Turismo,4,Hotel,10,12
Bogotá,Ráquira,Turismo,1,Hotel,9,13
Bogotá,Villa de Leyva,Turismo,3,Hotel,0,13
Bogotá,Aquitania,Turismo,2,Hotel,10,13
Bogotá,Duitama,Turismo,2,Hotel,10,14
Bogotá,Duitama,Turismo,2,Vivienda familiar,10,14
Bogotá,Aquitania,Turismo,2,Hotel,9,15
Bogotá,Aquitania,Turismo,1,Hotel,10,15
Bogotá,Paipa,Turismo,2,Hotel,10,15
Bogotá,Paipa,Turismo,1,Hotel,10,15
Bogotá,Duitama,Turismo,1,Hotel,10,15
Bogotá,Aquitania,Turismo,2,Cabaña rural,10,16
Bogotá,Aquitania,Turismo,2,Hotel,9,18
Bogotá,Duitama,Turismo,5,Vivienda familiar,10,20
Bogotá,Paipa,Turismo,1,Hotel,9,20
Bogotá,Paipa,Turismo,2,Hotel,10,20
Bogotá,Paipa,Turismo,2,Hotel,10,21
Bogotá,Aquitania,Turismo,2,Hotel,10,22
Bogotá,Tunja,Turismo,2,Hotel,10,22
Bogotá,Paipa,Turismo,1,Hotel,10,23
Bogotá,Aquitania,Turismo,2,Hotel,10,23
Bogotá,Aquitania,Turismo,2,Hotel,10,23
Bogotá,Aquitania,Turismo,4,Hotel,5,24
Bogotá,Paipa,Turismo,1,Vivienda familiar,9,25
Bogotá,Aquitania,Turismo,4,Hotel,9,28
Bogotá,Paipa,Turismo,2,Vivienda familiar,10,28
Bogotá,Aquitania,Turismo,3,Hotel,10,28
Bogotá,Duitama,Turismo,5,Hotel,10,28
Bogotá,Aquitania,Turismo,1,Hotel,9,30
Bogotá,Aquitania,Turismo,2,Hotel,9,30
Bogotá,Paipa,Turismo,4,Hotel,10,30
Bogotá,Tunja,Turismo,3,Hotel,10,30
Bogotá,Duitama,Turismo,1,Hotel,10,30
Bogotá,Aquitania,Turismo,4,Hotel,10,32
Bogotá,Paipa,Turismo,4,Cabaña rural,9,32
Bogotá,Paipa,Turismo,2,Hotel,10,32
Bogotá,Aquitania,Turismo,2,Hotel,10,32
Bogotá,Paipa,Turismo,4,Hotel,10,32
Bogotá,El Cocuy,Turismo,1,Vivienda familiar,10,35
Bogotá,Busbanzá,Turismo,1,Vivienda familiar,10,35
Bogotá,Corrales,Turismo,4,Hotel,10,36
Bogotá,Duitama,Turismo,5,Hotel,10,40
Bogotá,Duitama,Turismo,4,Hotel,9,40
Bogotá,Garagoa,Turismo,1,Vivienda familiar,10,40
Bogotá,Aquitania,Turismo,4,Hotel,10,40
Bogotá,Duitama,Turismo,1,Vivienda familiar,10,40
Bogotá,Paipa,Turismo,4,Hotel,10,40
Bogotá,Paipa,Turismo,1,Vivienda familiar,10,40
Bogotá,Paipa,Turismo,1,Vivienda familiar,10,40
Bogotá,Paipa,Turismo,1,Vivienda familiar,10,40
Bogotá,Paipa,Turismo,5,Hotel,10,40
Bogotá,Paipa,Turismo,1,Vivienda familiar,9,42
Bogotá,Nobsa,Turismo,1,Vivienda familiar,10,43
Bogotá,Aquitania,Turismo,1,Hotel,10,44
Bogotá,Paipa,Turismo,3,Hotel,10,44
Bogotá,Villa de Leyva,Turismo,1,Vivienda familiar,10,45
Bogotá,Aquitania,Turismo,2,Hotel,10,45
Bogotá,Tunja,Turismo,3,Hotel,10,45
Bogotá,Aquitania,Turismo,2,Hotel,10,48
Bogotá,Tibasosa,Turismo,2,Hotel,10,48
Bogotá,Aquitania,Turismo,1,Vivienda familiar,10,50
Bogotá,Villa de Leyva,Turismo,4,Hotel,9,52
Bogotá,Aquitania,Turismo,1,Hotel,9,54
Bogotá,Aquitania,Turismo,2,Hotel,10,54
Bogotá,Aquitania,Turismo,3,Hotel,10,55
Bogotá,Duitama,Turismo,3,Hotel,9,60
Bogotá,Paipa,Turismo,2,Hotel,10,65
Bogotá,Paipa,Turismo,3,Hotel,10,69
Bogotá,Paipa,Turismo,2,Hotel,9,80
Bogotá,Aquitania,Turismo,1,Vivienda familiar,10,80
Bogotá,Aquitania,Turismo,3,Hotel,10,80
Bogotá,Aquitania,Turismo,4,Hotel,10,80
Bogotá,Aquitania,Turismo,2,Hotel,10,85
Bogotá,Aquitania,Turismo,3,Hotel,9,87
Bogotá,Paipa,Turismo,1,Hotel,10,87
Bogotá,Aquitania,Turismo,3,Hotel,10,100
Bogotá,Garagoa,Turismo,1,Vivienda familiar,10,120
Bogotá,Villa de Leyva,Turismo,2,Hotel,10,120
Bogotá,Paipa,Turismo,4,Hotel,10,120
Bogotá,Aquitania,Turismo,2,Hotel,10,120
Bogotá,Aquitania,Turismo,1,Hotel,10,128
Bogotá,Nobsa,Turismo,1,Hotel,10,128
Bogotá,Aquitania,Turismo,1,Vivienda familiar,10,140
Bogotá,Iza,Turismo,1,Hotel,9,150
Bogotá,Duitama,Turismo,3,Hotel,9,160
Bogotá,Aquitania,Turismo,4,Hotel,8,180
Bogotá,Nobsa,Turismo,3,Hotel,10,180
Bogotá,Aquitania,Turismo,3,Hotel,10,180
Bogotá,Villa de Leyva,Turismo,4,Hotel,9,200
Bogotá,Paipa,Turismo,1,Hotel,10,227
Bogotá,Guateque,Turismo,1,Vivienda familiar,9,240
Bojacá,Aquitania,Turismo,3,Hotel,0,2
Bojacá,Aquitania,Turismo,1,Hotel,9,6
Bolívar,Tunja,Turismo,2,Cabaña rural,10,2
Bolívar,Iza,Turismo,1,Hotel,9,4
Bolívar,Paipa,Turismo,3,Hotel,9,4
Bolívar,Paipa,Turismo,1,Vivienda familiar,9,5
Boyacá,Aquitania,Turismo,2,Cabaña rural,10,2
Boyacá,Aquitania,Turismo,2,Hotel,9,2
Boyacá,Boyacá,Turismo,1,Hotel,0,2
Boyacá,Aquitania,Turismo,2,Cabaña rural,10,4
Boyacá,Boyacá,Turismo,3,Vivienda familiar,10,4
Boyacá,Boyacá,Turismo,3,Hotel,0,8
Bucaramanga,Duitama,Turismo,1,Hotel,10,1
Bucaramanga,Tibasosa,Turismo,5,Vivienda familiar,10,1
Bucaramanga,Belén,Turismo,2,Hotel,10,1
Bucaramanga,Aquitania,Turismo,2,Hotel,10,2
Bucaramanga,Paipa,Turismo,4,Vivienda familiar,10,2
Bucaramanga,Duitama,Turismo,5,Hotel,10,2
Bucaramanga,Duitama,Turismo,5,Vivienda familiar,9,2
Bucaramanga,Duitama,Turismo,1,Hotel,10,2
Bucaramanga,Villa de Leyva,Turismo,1,Hotel,10,2
Bucaramanga,Aquitania,Turismo,5,Vivienda familiar,10,2
Bucaramanga,Tunja,Turismo,1,Hotel,10,2
Bucaramanga,Aquitania,Turismo,1,Vivienda familiar,10,2
Bucaramanga,Aquitania,Turismo,3,Hotel,10,2
Bucaramanga,Paipa,Turismo,2,Hotel,10,2
Bucaramanga,Paipa,Turismo,3,Vivienda familiar,10,2
Bucaramanga,Aquitania,Turismo,4,Vivienda familiar,10,2
Bucaramanga,Aquitania,Turismo,1,Hotel,10,2
Bucaramanga,Duitama,Turismo,3,Hotel,10,2
